device=cpu params=109 m=4 lr=0.003
ep   1/150  loss=0.2593  F1=0.9136 prec=0.8683 rec=0.9639 cell_acc=0.99852  3.4s
ep   2/150  loss=0.0070  F1=0.9411 prec=0.8888 rec=1.0000 cell_acc=0.99899  3.4s
ep   3/150  loss=0.0039  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.4s
ep   4/150  loss=0.0020  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep   5/150  loss=0.0008  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.4s
ep   6/150  loss=0.0003  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep   7/150  loss=0.0001  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.4s
ep   8/150  loss=0.0001  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep   9/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  10/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  11/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  12/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  13/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  14/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  15/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  16/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  17/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  18/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  19/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  20/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  21/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  22/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  23/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  24/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
ep  25/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.5s
ep  26/150  loss=0.0000  F1=1.0000 prec=1.0000 rec=1.0000 cell_acc=1.00000  3.6s
